Title,region,Region Name,region_parent_name,Price,Property Size,Bedrooms,Bathrooms,Furnishing,Is Boosted,House Type,Region Parent Name
4bdrm Duplex in Uzoba for sale,"Port-Harcourt, Uzoba",Uzoba,Port-Harcourt,250000000.0,700.0,4,4,Semi-Furnished,enterprise,Duplex,Rivers State
6bdrm Duplex in Trans Amadi for sale,"Port-Harcourt, Trans Amadi",Trans Amadi,Port-Harcourt,250000000.0,465.0,6,8,Semi-Furnished,enterprise,Duplex,Rivers State
3bdrm Apartment in Wuye Abuja for sale,"Abuja (FCT), Wuye",Wuye,Abuja (FCT),160000000.0,1000.0,3,3,Semi-Furnished,vip_gold,Apartment,Abuja (FCT)
3bdrm Block of Flats in Utako Abuja for sale,"Abuja (FCT), Utako",Utako,Abuja (FCT),900000000.0,1000.0,3,3,Semi-Furnished,vip_gold,Block Of Flats,Abuja (FCT)
3bdrm Block of Flats in Jahi Abuja for sale,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),150000000.0,1000.0,3,3,Semi-Furnished,vip_gold,Block Of Flats,Abuja (FCT)
5bdrm Duplex in Guzape District for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),600000000.0,1000.0,5,5,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
5bdrm Duplex in Life Camp Abuja for sale,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,1400000000.0,1250.0,5,5,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
4bdrm Duplex in Guzape District for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),1500000000.0,2145.0,4,4,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
3bdrm Apartment in Asokoro Main for sale,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),1600000000.0,1572.0,3,3,Semi-Furnished,vip_gold,Apartment,Abuja (FCT)
"3bdrm Block of Flats in Sunnyvale Estate, Lokogoma for sale","Abuja (FCT), Lokogoma",Lokogoma,Abuja (FCT),70000000.0,1000.0,3,3,Semi-Furnished,vip_gold,Block Of Flats,Abuja (FCT)
